artist,date,city,country,showVenue,supportAct,revenue,tourName,ticketsSold,ticketsAvailable,source,soldOut
Taylor Swift,19 July 2011,Newark,United States,Prudential Center,Needtobreathe,3875463,Speak Now World Tour,51487,51487,TS Kaggle,TRUE
Taylor Swift,20 July 2011,Newark,United States,Prudential Center,Needtobreathe,3875463,Speak Now World Tour,51487,51487,TS Kaggle,TRUE
Taylor Swift,23 July 2011,Newark,United States,Prudential Center,Needtobreathe,3875463,Speak Now World Tour,51487,51487,TS Kaggle,TRUE
Taylor Swift,24 July 2011,Newark,United States,Prudential Center,Needtobreathe,3875463,Speak Now World Tour,51487,51487,TS Kaggle,TRUE
Taylor Swift,28 July 2011,Grand Rapids,United States,Van Andel Arena,Needtobreathe,724854,Speak Now World Tour,11012,11012,TS Kaggle,TRUE
Taylor Swift,29 July 2011,Indianapolis,United States,Conseco Fieldhouse,Needtobreathe,877175,Speak Now World Tour,13329,13329,TS Kaggle,TRUE
Taylor Swift,30 July 2011,Cleveland,United States,Quicken Loans Arena,Needtobreathe,976954,Speak Now World Tour,14873,14873,TS Kaggle,TRUE
Taylor Swift,02 August 2011,Washington,United States,Verizon Center,Needtobreathe,2068789,Speak Now World Tour,29303,29303,TS Kaggle,TRUE
Taylor Swift,03 August 2011,Washington,United States,Verizon Center,Needtobreathe,2068789,Speak Now World Tour,29303,29303,TS Kaggle,TRUE
Taylor Swift,06 August 2011,Philadelphia,United States,Lincoln Financial Field,Needtobreathe,4268678,Speak Now World Tour,51395,51395,TS Kaggle,TRUE
Taylor Swift,09 August 2011,Rosemont,United States,Allstate Arena,Needtobreathe,1909603,Speak Now World Tour,26112,26112,TS Kaggle,TRUE
Taylor Swift,10 August 2011,Rosemont,United States,Allstate Arena,Needtobreathe,1909603,Speak Now World Tour,26112,26112,TS Kaggle,TRUE
Taylor Swift,13 August 2011,St. Louis,United States,Scottrade Center,Needtobreathe,1850159,Speak Now World Tour,27965,27965,TS Kaggle,TRUE
Taylor Swift,14 August 2011,St. Louis,United States,Scottrade Center,Needtobreathe,1850159,Speak Now World Tour,27965,27965,TS Kaggle,TRUE
Taylor Swift,18 August 2011,Edmonton,Canada,Rexall Place,Needtobreathe,2136270,Speak Now World Tour,25336,25336,TS Kaggle,TRUE
Taylor Swift,19 August 2011,Edmonton,Canada,Rexall Place,Needtobreathe,2136270,Speak Now World Tour,25336,25336,TS Kaggle,TRUE
Taylor Swift,23 August 2011,Los Angeles,United States,Staples Center,Needtobreathe,3927154,Speak Now World Tour,54900,54900,TS Kaggle,TRUE
Taylor Swift,24 August 2011,Los Angeles,United States,Staples Center,Needtobreathe,3927154,Speak Now World Tour,54900,54900,TS Kaggle,TRUE
Taylor Swift,27 August 2011,Los Angeles,United States,Staples Center,Needtobreathe,3927154,Speak Now World Tour,54900,54900,TS Kaggle,TRUE
Taylor Swift,28 August 2011,Los Angeles,United States,Staples Center,Needtobreathe,3927154,Speak Now World Tour,54900,54900,TS Kaggle,TRUE
Taylor Swift,01 September 2011,San Jose,United States,HP Pavilion,Needtobreathe,1825448,Speak Now World Tour,24827,24827,TS Kaggle,TRUE
Taylor Swift,02 September 2011,San Jose,United States,HP Pavilion,Needtobreathe,1825448,Speak Now World Tour,24827,24827,TS Kaggle,TRUE
Taylor Swift,03 September 2011,Sacramento,United States,Power Balance Pavilion,Needtobreathe,934326,Speak Now World Tour,12432,12432,TS Kaggle,TRUE
Taylor Swift,06 September 2011,Portland,United States,Rose Garden Arena,Needtobreathe,903445,Speak Now World Tour,13610,13610,TS Kaggle,TRUE
Taylor Swift,07 September 2011,Tacoma,United States,Tacoma Dome,Needtobreathe,1289430,Speak Now World Tour,19904,19904,TS Kaggle,TRUE
Taylor Swift,10 September 2011,Vancouver,Canada,Rogers Arena,Needtobreathe,2190680,Speak Now World Tour,26030,26030,TS Kaggle,TRUE
Taylor Swift,11 September 2011,Vancouver,Canada,Rogers Arena,Needtobreathe,2190680,Speak Now World Tour,26030,26030,TS Kaggle,TRUE
Taylor Swift,16 September 2011,Nashville,United States,Bridgestone Arena,Needtobreathe,1841134,Speak Now World Tour,28178,28178,TS Kaggle,TRUE
