city,country,venue_name,support_act,revenue,event_name,tix_sold,tix_available,event_date
San Jose,United States,HP Pavilion,Needtobreathe,1825448.0,Speak Now World Tour,24827,24827,02/09/2011
Sacramento,United States,Power Balance Pavilion,Needtobreathe,934326.0,Speak Now World Tour,12432,12432,03/09/2011
Portland,United States,Rose Garden Arena,Needtobreathe,903445.0,Speak Now World Tour,13610,13610,06/09/2011
Tacoma,United States,Tacoma Dome,Needtobreathe,1289430.0,Speak Now World Tour,19904,19904,07/09/2011
Vancouver,Canada,Rogers Arena,Needtobreathe,2190680.0,Speak Now World Tour,26030,26030,10/09/2011
Vancouver,Canada,Rogers Arena,Needtobreathe,2190680.0,Speak Now World Tour,26030,26030,11/09/2011
Nashville,United States,Bridgestone Arena,Needtobreathe,1841134.0,Speak Now World Tour,28178,28178,16/09/2011
Nashville,United States,Bridgestone Arena,Needtobreathe,1841134.0,Speak Now World Tour,28178,28178,17/09/2011
Bossier City,United States,CenturyLink Center,Needtobreathe,728546.0,Speak Now World Tour,11510,11510,20/09/2011
Tulsa,United States,BOK Center,Needtobreathe,907573.0,Speak Now World Tour,12546,12546,21/09/2011
Kansas City,United States,Arrowhead Stadium,Needtobreathe,3148046.0,Speak Now World Tour,48562,48562,24/09/2011
Denver,United States,Pepsi Center,Needtobreathe,834916.0,Speak Now World Tour,12908,12908,27/09/2011
Salt Lake City,United States,EnergySolutions Arena,Needtobreathe,896946.0,Speak Now World Tour,13720,13720,28/09/2011
Atlanta,United States,Philips Arena,Needtobreathe,1726661.0,Speak Now World Tour,26244,26244,01/10/2011
Atlanta,United States,Philips Arena,Needtobreathe,1726661.0,Speak Now World Tour,26244,26244,02/10/2011
North Little Rock,United States,Verizon Arena,Needtobreathe,856123.0,Speak Now World Tour,13566,13566,04/10/2011
New Orleans,United States,New Orleans Arena,Needtobreathe,830289.0,Speak Now World Tour,12943,12943,05/10/2011
Arlington,United States,Cowboys Stadium,Needtobreathe,4337062.0,Speak Now World Tour,55451,55451,08/10/2011
Louisville,United States,KFC Yum! Center,Needtobreathe,1003828.0,Speak Now World Tour,14848,14848,11/10/2011
Lubbock,United States,United Spirit Arena,Needtobreathe,710426.0,Speak Now World Tour,10419,10419,14/10/2011
Oklahoma City,United States,Chesapeake Energy Arena,Needtobreathe,758364.0,Speak Now World Tour,11592,11592,15/10/2011
San Diego,United States,Valley View Casino Center,Needtobreathe,792634.0,Speak Now World Tour,10834,10834,20/10/2011
Glendale,United States,Jobing.com Arena,Needtobreathe,1826025.0,Speak Now World Tour,27029,27029,21/10/2011
Glendale,United States,Jobing.com Arena,Needtobreathe,1826025.0,Speak Now World Tour,27029,27029,22/10/2011
San Antonio,United States,AT&T Center,Needtobreathe,901535.0,Speak Now World Tour,13851,13851,25/10/2011
Austin,United States,Frank Erwin Center,Needtobreathe,752078.0,Speak Now World Tour,11999,11999,26/10/2011
Lexington,United States,Rupp Arena,Needtobreathe,1041935.0,Speak Now World Tour,16237,16237,29/10/2011
Memphis,United States,FedExForum,Needtobreathe,820036.0,Speak Now World Tour,12604,12604,30/10/2011
Houston,United States,Minute Maid Park,Needtobreathe,3435756.0,Speak Now World Tour,42095,42095,05/11/2011
Jacksonville,United States,Jacksonville Veterans Memorial Arena,Needtobreathe,749099.0,Speak Now World Tour,11785,11785,11/11/2011
Tampa,United States,St. Pete Times Forum,Needtobreathe,914300.0,Speak Now World Tour,13695,13695,12/11/2011
Miami,United States,American Airlines Arena,Needtobreathe,786904.0,Speak Now World Tour,12153,12153,13/11/2011
Charlotte,United States,Time Warner Cable Arena,Needtobreathe,920903.0,Speak Now World Tour,14272,14272,16/11/2011
Raleigh,United States,RBC Center,Needtobreathe,866056.0,Speak Now World Tour,13567,13567,17/11/2011
Columbia,United States,Colonial Life Arena,Needtobreathe,828231.0,Speak Now World Tour,12807,12807,18/11/2011
New York,United States,Madison Square Garden,Needtobreathe,1988411.0,Speak Now World Tour,26652,26652,21/11/2011
New York,United States,Madison Square Garden,Needtobreathe,1988411.0,Speak Now World Tour,26652,26652,22/11/2011
Perth,Australia,Burswood Dome,Hot Chelle Rae,1878530.0,Speak Now World Tour,15142,15142,02/04/2012
Adelaide,Australia,Adelaide Entertainment Centre,Hot Chelle Rae,1075370.0,Speak Now World Tour,8589,8589,04/04/2012
